cat_image,cat_format,cat_resolution,style_image,count_tokens,actual_tokens,text_tokens,image_tokens,output_tokens,status
cat_640*440,png,640x440,style_a.jpg,523,522,6,516,256,success
cat_640*440,png,640x440,style_b.jpg,523,522,6,516,245,success
cat_640*440,png,640x440,style_c.jpg,523,522,6,516,189,success
cat_640*440,jpg,640x440,style_a.jpg,523,522,6,516,296,success
cat_640*440,jpg,640x440,style_b.jpg,523,522,6,516,221,success
cat_640*440,jpg,640x440,style_c.jpg,523,522,6,516,161,success
cat_640*440,webp,640x440,style_a.jpg,523,522,6,516,274,success
cat_640*440,webp,640x440,style_b.jpg,523,522,6,516,327,success
cat_640*440,webp,640x440,style_c.jpg,523,522,6,516,145,success
cat_1920*1321,png,1920x1321,style_a.jpg,523,522,6,516,250,success
cat_1920*1321,png,1920x1321,style_b.jpg,523,522,6,516,110,success
cat_1920*1321,png,1920x1321,style_c.jpg,523,522,6,516,170,success
cat_1920*1321,jpg,1920x1321,style_a.jpg,523,522,6,516,168,success
cat_1920*1321,jpg,1920x1321,style_b.jpg,523,522,6,516,218,success
cat_1920*1321,jpg,1920x1321,style_c.jpg,523,522,6,516,265,success
cat_1920*1321,webp,1920x1321,style_a.jpg,523,522,6,516,279,success
cat_1920*1321,webp,1920x1321,style_b.jpg,523,522,6,516,255,success
cat_1920*1321,webp,1920x1321,style_c.jpg,523,522,6,516,322,success
cat_2400*1651,png,2400x1651,style_a.jpg,523,522,6,516,223,success
cat_2400*1651,png,2400x1651,style_b.jpg,523,522,6,516,306,success
cat_2400*1651,png,2400x1651,style_c.jpg,523,522,6,516,177,success
cat_2400*1651,jpg,2400x1651,style_a.jpg,523,522,6,516,311,success
cat_2400*1651,jpg,2400x1651,style_b.jpg,523,522,6,516,231,success
cat_2400*1651,jpg,2400x1651,style_c.jpg,523,522,6,516,263,success
cat_2400*1651,webp,2400x1651,style_a.jpg,523,522,6,516,251,success
cat_2400*1651,webp,2400x1651,style_b.jpg,523,522,6,516,352,success
cat_2400*1651,webp,2400x1651,style_c.jpg,523,522,6,516,223,success
cat_5026*3458,png,5026x3458,style_a.jpg,523,522,6,516,286,success
cat_5026*3458,png,5026x3458,style_b.jpg,523,522,6,516,300,success
cat_5026*3458,png,5026x3458,style_c.jpg,523,522,6,516,261,success
cat_5026*3458,jpg,5026x3458,style_a.jpg,523,522,6,516,217,success
cat_5026*3458,jpg,5026x3458,style_b.jpg,523,522,6,516,156,success
cat_5026*3458,jpg,5026x3458,style_c.jpg,523,522,6,516,241,success
cat_5026*3458,webp,5026x3458,style_a.jpg,523,522,6,516,242,success
cat_5026*3458,webp,5026x3458,style_b.jpg,523,522,6,516,275,success
cat_5026*3458,webp,5026x3458,style_c.jpg,523,522,6,516,267,success
